Hujan ADC;Hujan %;Status Hujan;Soil ADC;Soil %;Status Soil%;accel_magnitude;gyro_magnitude;pitch;roll;status mpu;Label
1442;64.0;Gerimis;1950;52.0;Lembab;1.466;59.73;40.61;-11.23;GETARAN_RINGAN;Waspada
1440;64.0;Gerimis;1953;52.0;Lembab;1.072;112.33;30.74;-4.71;GETARAN_RINGAN;Waspada
1437;64.0;Gerimis;1951;52.0;Lembab;898;122.25;24.63;-2.88;GETARAN_RINGAN;Waspada
1437;64.0;Gerimis;1952;52.0;Lembab;1.460;76.95;44.71;3.36;GETARAN_RINGAN;Waspada
1435;64.0;Gerimis;1951;52.0;Lembab;1.225;103.17;32.65;07.03;GETARAN_RINGAN;Waspada
1434;64.0;Gerimis;1966;51.0;Lembab;1.002;61.82;-35.88;-5.58;GETARAN_RINGAN;Waspada
1429;65.0;Gerimis;1959;52.0;Lembab;1.103;37.01;-46.65;-3.07;GETARAN_RINGAN;Waspada
1418;65.0;Gerimis;1966;51.0;Lembab;1.162;136.06;15.65;-1.90;GETARAN_RINGAN;Waspada
1417;65.0;Gerimis;1963;52.0;Lembab;1.552;56.35;43.60;2.70;GETARAN_RINGAN;Waspada
1418;65.0;Gerimis;1967;51.0;Lembab;816;133.29;-30.45;-14.31;GETARAN_RINGAN;Waspada
1411;65.0;Gerimis;1968;51.0;Lembab;1.417;41.66;35.30;-2.20;GETARAN_RINGAN;Waspada
1410;65.0;Gerimis;1967;51.0;Lembab;1.521;46.36;42.38;2.52;GETARAN_RINGAN;Waspada
1394;65.0;Gerimis;1965;52.0;Lembab;1.625;100.86;37.54;0.01;GETARAN_RINGAN;Waspada
1407;65.0;Gerimis;1965;52.0;Lembab;1.269;77.71;39.48;8.15;GETARAN_RINGAN;Waspada
1393;65.0;Gerimis;1968;51.0;Lembab;1.082;121.81;33.04;0.66;GETARAN_RINGAN;Waspada
1395;65.0;Gerimis;1956;52.0;Lembab;1.437;49.14;35.07;-0.87;GETARAN_RINGAN;Waspada
1396;65.0;Gerimis;1963;52.0;Lembab;1.055;146.20;0.12;-5.20;GETARAN_RINGAN;Waspada
1395;65.0;Gerimis;1954;52.0;Lembab;901;120.34;15.87;2.28;GETARAN_RINGAN;Waspada
1402;65.0;Gerimis;1971;51.0;Lembab;1.056;127.12;8.14;-9.97;GETARAN_RINGAN;Waspada
1389;66.0;Gerimis;1962;52.0;Lembab;1.304;108.49;34.80;2.80;GETARAN_RINGAN;Waspada
1388;66.0;Gerimis;1966;51.0;Lembab;1.633;117.36;27.48;4.37;GETARAN_RINGAN;Waspada
1391;66.0;Gerimis;1967;51.0;Lembab;1.042;92.29;-39.45;-6.90;GETARAN_RINGAN;Waspada
1386;66.0;Gerimis;1966;51.0;Lembab;856;123.28;-7.69;-1.32;GETARAN_RINGAN;Waspada
1268;69.0;Hujan;3290;19.0;Kering;1.001;3.32;-1.13;3.60;STABIL;Waspada
1034;74.0;Hujan;3287;19.0;Kering;995;3.32;-1.15;3.85;STABIL;Waspada
977;76.0;Hujan;3287;19.0;Kering;1.000;3.59;-1.06;3.79;STABIL;Waspada
1013;75.0;Hujan;3269;20.0;Kering;1.003;3.33;-1.05;3.47;STABIL;Waspada
